id_inoc,species,material,production_date
1,ctrl,MEA,10-29-2025
2,P. ostreatus MG1015,MEA,10-29-2025
3,P. ostreatus MG1010,MEA,10-29-2025
4,G. lucidum,MEA,10-29-2025
5,S. fimicola F35,MEA,10-29-2025
6,T. harzianum T22,MEA,10-29-2025
7,Coprinopsis F40 +,MEA,10-29-2025
8,ctrl,MEA,10-29-2025
9,P. ostreatus MG1015,MEA,10-29-2025
10,P. ostreatus MG1010,MEA,10-29-2025
11,G. lucidum,MEA,10-29-2025
12,S. fimicola F35,MEA,10-29-2025
13,T. harzianum T22,MEA,10-29-2025
14,Coprinopsis F40 +,MEA,10-29-2025
15,ctrl,MEA,11-6-2025
16,P. ostreatus MG1015,MEA,11-6-2025
17,P. ostreatus MG1010,MEA,11-6-2025
18,G. lucidum,MEA,11-6-2025
19,S. fimicola F35,MEA,11-6-2025
20,T. harzianum T22,MEA,11-6-2025
21,Coprinopsis F40 +,MEA,11-6-2025
22,new species,MEA,11-6-2025
23,ctrl,MEA,11-6-2025
24,P. ostreatus MG1015,MEA,11-6-2025
25,P. ostreatus MG1010,MEA,11-6-2025
26,G. lucidum,MEA,11-6-2025
27,S. fimicola F35,MEA,11-6-2025
28,T. harzianum T22,MEA,11-6-2025
29,Coprinopsis F40 +,MEA,11-6-2025
30,new species,MEA,11-6-2025
31,ctrl,MEA,11-11-2025
32,P. ostreatus MG1015,MEA,11-11-2025
33,P. ostreatus MG1010,MEA,11-11-2025
34,G. lucidum,MEA,11-11-2025
35,S. fimicola F35,MEA,11-11-2025
36,T. harzianum T22,MEA,11-11-2025
37,Coprinopsis F40 +,MEA,11-11-2025
38,ctrl,MEA,11-11-2025
39,P. ostreatus MG1015,MEA,11-11-2025
40,P. ostreatus MG1010,MEA,11-11-2025
41,G. lucidum,MEA,11-11-2025
42,S. fimicola F35,MEA,11-11-2025
43,T. harzianum T22,MEA,11-11-2025
44,Coprinopsis F40 +,MEA,11-11-2025